iter	Passed	Remaining
0	139	125011
1	143	64415
2	151	45161
3	158	35466
4	166	29714
5	174	25933
6	181	23196
7	189	21113
8	196	19433
9	203	18117
10	210	17029
11	218	16179
12	226	15460
13	234	14871
14	245	14494
15	253	13982
16	260	13527
17	268	13133
18	275	12795
19	284	12504
20	292	12223
21	299	11965
22	307	11713
23	314	11481
24	321	11267
25	329	11068
26	337	10903
27	346	10782
28	354	10653
29	364	10573
30	373	10467
31	381	10349
32	390	10246
33	397	10135
34	406	10038
35	414	9938
36	421	9840
37	430	9767
38	437	9668
39	445	9574
40	451	9452
41	458	9363
42	466	9287
43	473	9207
44	481	9141
45	489	9083
46	496	9019
47	504	8960
48	512	8899
49	519	8838
50	527	8780
51	535	8730
52	542	8674
53	551	8637
54	559	8594
55	566	8542
56	573	8488
57	582	8453
58	589	8398
59	596	8348
60	603	8306
61	611	8270
62	619	8233
63	627	8194
64	634	8152
65	641	8111
66	648	8067
67	656	8030
68	663	7988
69	670	7953
70	678	7919
71	685	7885
72	693	7854
73	700	7822
74	709	7799
75	717	7774
76	724	7747
77	733	7728
78	738	7671
79	746	7651
80	754	7631
81	763	7612
82	771	7594
83	779	7576
84	787	7549
85	795	7531
86	802	7503
87	811	7491
88	818	7461
89	825	7433
90	833	7409
91	840	7380
92	847	7355
93	855	7331
94	862	7307
95	869	7281
96	877	7263
97	884	7242
98	892	7222
99	899	7198
100	906	7171
101	913	7147
102	920	7125
103	928	7107
104	936	7086
105	944	7072
106	951	7052
107	959	7035
108	967	7017
109	974	6999
110	981	6978
111	989	6960
112	996	6939
113	1003	6921
114	1012	6912
115	1021	6905
116	1029	6890
117	1037	6877
118	1046	6865
119	1054	6851
120	1061	6835
121	1070	6826
122	1079	6817
123	1086	6797
124	1093	6781
125	1101	6766
126	1109	6752
127	1116	6736
128	1125	6728
129	1133	6715
130	1141	6700
131	1149	6685
132	1156	6670
133	1164	6656
134	1171	6639
135	1178	6622
136	1186	6606
137	1192	6587
138	1201	6575
139	1208	6560
140	1215	6544
141	1223	6531
142	1231	6521
143	1239	6505
144	1246	6489
145	1255	6481
146	1263	6471
147	1270	6457
148	1278	6441
149	1285	6426
150	1292	6413
151	1300	6401
152	1308	6388
153	1316	6375
154	1323	6360
155	1331	6351
156	1339	6340
157	1347	6326
158	1355	6315
159	1362	6302
160	1370	6290
161	1378	6278
162	1385	6266
163	1393	6255
164	1403	6252
165	1411	6239
166	1419	6229
167	1427	6218
168	1434	6203
