,Experience,Income,CCAvg,Education,Mortgage,target
0,1,54,0.6,2,230,0
1,20,68,0.8,3,91,0
2,38,158,2.1,1,0,0
3,12,63,2.3,1,0,0
4,10,104,0.6,2,0,0
5,35,40,0.8,2,128,0
6,25,44,1.0,2,135,0
7,0,150,7.2,1,0,0
8,37,125,1.0,3,0,1
9,36,55,0.9,3,197,0
10,12,193,8.6,1,0,0
11,24,40,2.6,1,89,0
12,38,111,3.9,1,207,0
13,11,22,0.1,2,0,0
14,29,12,0.3,1,0,0
15,16,18,0.6,3,0,0
16,25,29,0.1,1,0,0
17,25,83,2.8,2,0,0
18,3,45,1.7,2,95,0
19,16,9,0.3,2,0,0
20,8,82,1.5,3,0,0
21,-1,109,2.3,3,314,0
22,31,131,1.2,3,0,1
23,39,22,0.6,2,0,0
24,15,78,2.4,1,118,0
25,38,64,2.2,1,123,0
26,4,82,0.0,1,0,0
27,37,101,2.8,1,0,0
28,6,49,0.7,2,196,0
29,21,133,5.7,3,0,1
30,15,24,1.0,2,0,0
31,33,43,1.5,1,168,0
32,1,51,1.75,3,0,0
33,31,43,0.2,1,0,0
34,15,58,0.5,3,0,0
35,39,98,1.8,2,80,0
36,21,51,1.9,3,0,0
37,17,69,2.9,1,0,0
38,37,145,6.9,1,0,0
39,3,94,0.2,1,310,0
40,20,131,4.9,3,0,1
41,41,78,2.4,3,0,0
42,26,55,1.6,2,0,0
43,17,114,0.4,1,0,0
44,2,55,1.1,2,0,0
45,40,90,0.0,3,134,0
46,11,23,0.2,3,0,0
47,22,152,3.5,3,0,1
48,24,61,2.0,3,0,0
49,22,122,5.1,3,163,1
50,7,108,4.0,1,0,0
51,7,73,1.8,3,0,0
52,37,169,5.0,2,184,1
53,3,135,3.3,1,0,0
54,39,23,0.7,2,0,0
55,36,35,0.7,3,0,0
56,36,63,2.2,1,0,0
57,40,58,1.8,3,0,0
58,9,44,0.9,1,89,0
59,27,35,0.9,3,136,0
60,32,65,2.2,3,0,0
61,37,50,1.3,2,0,0
62,34,149,7.2,2,0,1
63,25,39,1.9,2,0,0
64,12,58,0.9,3,128,0
65,15,69,1.5,3,78,0
66,12,64,1.8,1,0,0
67,6,32,1.9,3,0,0
68,8,128,4.33,1,0,0
69,14,39,2.0,1,0,0
70,19,114,1.7,1,0,0
71,29,42,2.5,1,0,0
72,30,45,0.7,2,0,0
73,33,25,0.9,2,90,0
74,32,30,2.0,2,0,0
75,21,44,0.3,1,110,0
76,12,123,3.1,2,253,1
77,4,80,2.5,1,0,0
78,4,25,0.3,2,0,0
79,23,70,1.5,2,0,0
80,16,113,1.0,3,211,0
81,19,122,4.1,2,0,1
82,28,14,0.8,1,0,0
83,36,89,2.8,1,0,0
84,14,70,1.4,2,0,0
85,29,144,6.8,1,0,0
86,21,183,1.4,1,354,0
87,2,29,1.5,2,0,0
88,15,32,0.75,3,105,0
89,39,41,1.3,2,0,0
90,19,69,0.4,1,0,0
91,37,25,0.2,3,0,0
92,36,59,0.0,2,0,0
93,27,195,8.1,1,0,0
94,18,88,1.1,2,0,0
95,14,48,1.8,1,169,0
96,22,24,0.4,2,142,0
97,15,30,0.3,1,0,0
98,7,32,1.7,1,0,0
99,27,24,0.4,1,0,0
100,26,91,4.3,2,0,1
101,29,140,2.7,1,0,0
102,35,130,6.3,3,437,1
103,11,158,7.8,1,114,0
104,21,89,0.8,3,0,0
105,32,81,1.7,2,0,0
106,8,40,2.0,3,89,0
107,32,120,7.4,1,186,0
108,25,113,6.3,1,0,0
109,29,25,0.1,3,109,0
110,26,112,2.4,1,0,0
111,10,179,8.6,1,357,0
112,11,90,2.8,1,0,0
113,27,29,1.5,2,159,0
114,22,15,0.7,3,0,0
115,26,45,1.8,1,0,0
116,38,153,1.3,1,455,0
117,17,9,1.0,1,0,0
118,5,41,1.0,2,112,0
119,31,28,1.5,2,0,0
120,31,159,0.5,1,0,0
121,40,40,1.1,1,0,0
122,26,158,3.7,3,251,1
123,7,94,1.8,3,232,0
124,39,64,1.8,3,147,0
125,33,155,7.4,1,0,0
126,14,44,2.0,3,180,0
127,43,79,1.7,2,215,0
128,9,139,4.3,1,0,0
129,11,29,1.4,3,0,0
130,30,81,3.8,2,0,0
131,20,89,1.9,3,0,0
132,32,69,0.7,1,245,0
133,9,79,2.2,2,0,0
134,10,23,1.1,3,0,0
135,10,132,3.8,1,82,0
136,10,84,0.1,2,0,0
137,12,34,2.0,3,0,0
138,11,42,1.5,3,0,0
139,39,23,0.5,1,0,0
140,29,20,0.2,1,131,0
141,34,13,0.9,2,0,0
142,28,161,2.9,1,0,0
143,22,133,3.1,2,0,1
144,37,141,6.9,1,0,0
145,24,75,2.8,2,160,0
146,24,70,2.9,1,0,0
147,32,48,2.8,2,0,0
148,27,42,0.1,3,0,0
149,32,33,1.5,2,0,0
150,27,110,4.9,1,0,0
151,15,118,1.9,1,0,0
152,25,163,1.3,3,0,1
153,8,200,6.5,1,565,0
154,-1,139,2.0,1,0,0
155,26,84,2.4,1,0,0
156,32,122,0.3,1,360,0
157,25,104,4.2,2,0,1
158,9,24,0.3,1,0,0
159,16,64,0.5,3,247,0
160,25,161,6.5,2,485,1
161,30,24,0.1,2,0,0
162,21,42,2.5,1,0,0
163,24,91,2.8,2,0,0
164,14,90,0.0,1,258,0
165,18,90,0.8,1,245,0
166,20,55,1.9,3,164,0
167,5,134,0.0,1,0,0
168,17,165,7.6,1,157,0
169,26,83,3.1,1,0,1
170,15,18,0.1,2,119,0
171,39,58,0.0,2,0,0
172,15,28,0.75,3,0,0
173,5,113,2.0,2,84,0
174,25,160,4.3,3,410,1
175,5,69,0.8,2,0,0
176,22,33,1.4,3,0,0
177,25,65,1.0,3,0,0
178,19,34,0.3,3,78,0
179,-2,135,7.2,1,0,0
180,29,72,0.3,2,147,0
181,15,45,0.7,1,0,0
182,5,44,0.2,3,0,0
183,23,33,1.0,1,0,0
184,41,14,0.6,2,0,0
185,35,55,1.8,3,0,0
186,9,104,1.2,3,0,0
187,6,45,1.8,2,0,0
188,29,38,1.5,3,0,0
189,4,32,1.0,2,0,0
190,14,33,0.8,3,89,0
191,32,124,0.2,2,0,1
192,32,72,0.3,2,0,0
193,9,32,2.0,3,116,0
194,6,25,1.0,2,135,0
195,15,41,1.7,1,0,0
196,17,55,2.2,2,0,0
197,21,41,1.4,3,128,0
198,16,49,2.8,1,0,0
199,11,41,2.0,1,0,0
200,25,99,4.6,1,368,1
201,8,45,1.0,2,0,0
202,-2,82,1.8,2,0,0
203,24,35,0.3,3,0,0
204,17,45,0.7,1,0,0
205,6,133,1.5,3,0,1
206,27,39,1.5,3,0,0
207,2,31,1.5,2,0,0
208,24,80,1.2,1,0,0
209,37,165,5.1,3,0,1
210,9,78,0.6,2,0,0
211,38,23,0.3,3,0,0
212,6,184,6.0,1,0,0
213,6,29,1.0,2,117,0
214,4,102,3.3,1,303,0
215,11,194,0.0,1,0,0
216,5,188,4.5,1,455,0
217,9,141,4.9,3,0,1
218,28,184,8.1,1,303,0
219,2,31,0.3,2,0,0
220,40,64,1.5,1,0,0
221,5,93,3.1,2,0,1
222,15,43,1.7,1,98,0
223,38,38,0.3,1,186,0
224,10,44,2.0,3,0,0
225,-1,149,6.33,1,305,0
226,35,23,1.5,3,0,0
227,12,42,0.7,2,0,0
228,17,11,1.0,1,0,0
229,8,38,1.0,2,0,0
230,10,110,4.0,1,0,0
231,37,29,0.3,3,0,0
232,9,29,2.0,3,151,0
233,25,130,0.6,1,311,0
234,22,90,0.8,3,205,0
235,7,43,2.1,3,166,0
236,6,193,6.3,3,0,1
237,26,74,3.0,3,0,0
238,32,40,2.8,2,0,0
239,38,138,2.5,1,0,0
240,16,13,0.2,1,0,0
241,7,120,3.2,3,0,1
242,30,118,5.6,2,0,1
243,7,82,2.5,1,221,0
244,28,149,0.4,1,0,0
245,7,83,2.5,1,148,0
246,24,75,1.4,2,0,0
247,33,42,1.7,1,0,0
248,9,55,2.0,2,147,0
249,7,81,1.8,3,0,0
250,6,141,4.33,1,0,0
251,20,38,1.9,3,144,0
252,30,54,1.6,3,185,0
253,38,159,4.9,2,111,1
254,9,195,3.0,1,122,0
255,41,170,6.1,2,0,1
256,34,108,2.0,1,359,0
257,6,93,1.6,1,79,0
258,3,25,0.9,3,140,0
259,28,53,2.8,2,0,0
260,0,12,0.1,2,0,0
261,33,53,2.1,1,0,0
262,24,51,1.3,2,98,0
263,6,29,0.2,3,90,0
264,39,30,0.7,2,0,0
265,34,54,1.3,2,0,0
266,19,84,0.2,3,297,0
267,9,21,1.4,3,125,0
268,35,24,1.5,2,0,0
269,22,35,1.4,3,0,0
270,15,53,1.8,1,0,0
271,35,168,4.1,2,0,1
272,25,44,0.3,1,187,0
273,10,21,0.5,3,0,0
274,5,84,1.8,2,0,0
275,26,63,2.0,3,0,0
276,13,62,0.7,2,0,0
277,33,51,1.9,2,0,0
278,8,20,1.3,1,83,0
279,11,31,1.7,1,124,0
280,34,42,1.5,1,0,0
281,36,49,2.2,1,204,0
282,13,50,0.5,3,0,0
283,23,8,0.4,3,0,0
284,31,130,6.5,1,0,1
285,32,19,1.5,3,0,0
286,26,134,4.5,3,0,1
287,36,63,2.5,3,0,0
288,16,161,8.0,2,0,1
289,22,44,1.4,3,0,0
290,21,170,2.8,1,0,0
291,18,9,0.0,3,96,0
292,5,128,4.1,2,209,1
293,22,53,0.3,1,213,0
294,32,142,2.8,3,0,1
295,39,131,2.6,3,229,1
296,40,8,0.3,3,0,0
297,13,80,0.7,3,285,0
298,12,128,3.9,1,0,0
299,13,84,3.6,2,0,0
300,1,113,0.2,1,0,0
301,32,22,1.2,3,0,0
302,20,129,3.3,1,0,0
303,-2,82,1.6,3,0,0
304,12,25,1.0,1,147,0
305,30,194,6.0,3,587,1
306,-1,113,2.3,3,0,0
307,28,81,0.8,1,0,0
308,15,61,0.6,3,127,0
309,3,90,3.3,1,0,0
310,16,70,0.5,3,0,0
311,23,114,3.8,3,0,0
312,27,58,0.0,1,0,0
313,23,119,7.3,1,398,0
314,40,143,6.6,2,0,1
315,6,78,2.0,2,0,0
316,6,54,1.67,2,122,0
317,21,68,0.2,2,0,0
318,25,30,0.6,1,0,0
319,15,19,0.2,3,0,0
320,34,64,1.7,3,0,0
321,17,53,1.9,3,0,0
322,7,170,6.0,1,0,0
323,4,60,2.0,2,0,0
324,11,158,5.1,3,0,1
325,0,40,1.0,3,0,0
326,20,144,5.4,1,210,1
327,15,82,1.0,1,309,0
328,17,111,5.4,3,0,1
329,24,150,7.3,1,0,0
330,32,43,1.4,1,0,0
331,23,41,1.4,3,0,0
332,12,10,0.7,2,81,0
333,21,102,4.7,2,81,1
334,14,25,0.4,2,101,0
335,-1,35,1.7,2,0,0
336,20,59,2.4,1,0,0
337,1,99,3.0,3,149,1
338,37,124,5.0,2,170,1
339,34,139,0.4,1,0,1
340,8,52,2.2,2,0,0
341,10,28,1.0,1,130,0
342,9,145,4.3,1,437,0
343,22,80,2.0,3,0,0
344,37,22,1.5,2,111,0
345,3,105,3.0,2,0,1
346,20,38,2.1,3,95,0
347,28,81,1.8,2,0,0
348,14,44,1.7,1,0,0
349,24,179,1.0,1,0,0
350,32,99,1.4,1,0,0
351,35,29,0.2,1,79,0
352,22,35,1.3,1,0,0
353,23,114,0.3,1,286,0
354,7,35,1.0,2,0,0
355,27,88,2.6,2,0,0
356,30,61,1.8,3,0,0
357,0,85,1.6,3,0,0
358,12,114,0.6,2,0,0
359,10,42,1.2,2,0,0
360,26,128,0.4,1,0,0
361,20,70,2.9,1,0,0
362,20,99,1.1,1,0,0
363,34,151,0.6,2,0,1
364,14,35,1.5,2,97,0
365,16,73,3.0,1,0,0
366,36,23,0.5,2,103,0
367,3,104,2.5,1,184,0
368,40,171,2.1,1,433,0
369,25,40,1.8,1,0,0
370,10,172,1.0,2,295,1
371,22,103,2.0,2,167,0
372,4,25,0.3,1,0,0
373,14,153,3.0,1,0,0
374,23,20,0.4,3,0,0
375,30,55,0.9,1,215,0
376,25,52,1.4,3,207,0
377,19,83,3.8,3,0,0
378,16,65,0.5,3,0,0
379,42,35,1.9,2,172,0
380,38,54,2.2,1,0,0
