iter	Passed	Remaining
0	32	16097
1	72	18161
2	124	20557
3	144	17931
4	161	15978
5	176	14569
6	192	13575
7	211	13037
8	226	12379
9	240	11779
10	255	11373
11	267	10887
12	277	10380
13	286	9940
14	295	9550
15	304	9223
16	314	8931
17	330	8837
18	344	8724
19	358	8597
20	371	8472
21	382	8314
22	394	8182
23	404	8030
24	415	7886
25	425	7752
26	435	7634
27	445	7507
28	455	7394
29	465	7300
30	476	7213
31	488	7149
32	501	7097
33	514	7054
34	529	7031
35	542	6991
36	553	6930
37	566	6882
38	580	6860
39	594	6832
40	604	6762
41	614	6702
42	622	6614
43	629	6528
44	637	6442
45	645	6369
46	653	6302
47	663	6251
48	672	6194
49	679	6119
50	688	6062
51	698	6020
52	706	5957
53	713	5896
54	723	5851
55	731	5798
56	739	5750
57	747	5698
58	756	5654
59	763	5601
60	772	5560
61	780	5512
62	789	5473
63	797	5435
64	806	5395
65	814	5356
66	824	5326
67	831	5279
68	840	5250
69	848	5209
70	856	5174
71	866	5148
72	875	5120
73	883	5084
74	890	5045
75	897	5007
76	904	4969
77	911	4932
78	919	4901
79	929	4881
80	937	4848
81	947	4830
82	955	4800
83	963	4771
84	971	4744
85	981	4724
86	989	4697
87	998	4675
88	1007	4654
89	1017	4633
90	1025	4609
91	1033	4582
92	1041	4556
93	1051	4541
94	1063	4535
95	1074	4520
96	1084	4507
97	1094	4489
98	1104	4474
99	1112	4448
100	1121	4431
101	1129	4407
102	1138	4388
103	1145	4362
104	1153	4341
105	1163	4324
106	1171	4304
107	1179	4280
108	1186	4257
109	1193	4233
110	1201	4211
111	1209	4190
112	1216	4166
113	1223	4143
114	1231	4124
115	1239	4101
116	1245	4076
117	1252	4053
118	1259	4031
119	1266	4010
120	1273	3988
121	1282	3972
122	1290	3954
123	1297	3933
124	1304	3913
125	1311	3891
126	1318	3873
127	1326	3854
128	1333	3836
129	1341	3817
130	1347	3795
131	1354	3777
132	1361	3757
133	1369	3741
134	1377	3724
135	1386	3709
136	1394	3693
137	1401	3676
138	1409	3660
139	1416	3642
140	1423	3624
141	1429	3604
142	1435	3584
143	1441	3564
144	1448	3547
145	1457	3533
146	1464	3516
147	1471	3499
148	1478	3482
149	1485	3466
150	1493	3451
151	1500	3435
152	1508	3420
153	1515	3404
154	1523	3390
155	1531	3377
156	1538	3361
157	1544	3344
158	1550	3325
159	1557	3310
160	1564	3294
161	1571	3278
162	1578	3263
163	1586	3250
164	1593	3236
165	1600	3219
166	1606	3203
167	1613	3188
168	1620	3173
169	1626	3156
170	1632	3140
171	1638	3125
172	1644	3109
173	1650	3093
174	1657	3077
175	1662	3060
176	1668	3045
177	1674	3029
178	1681	3014
179	1689	3002
180	1696	2989
181	1703	2976
182	1710	2963
183	1718	2950
184	1725	2938
185	1732	2925
186	1740	2912
187	1747	2899
188	1753	2886
189	1759	2871
190	1766	2857
191	1774	2846
192	1782	2834
193	1790	2823
194	1798	2812
195	1804	2798
196	1810	2784
197	1816	2771
198	1822	2757
199	1828	2742
200	1834	2729
201	1840	2715
202	1847	2702
203	1853	2688
204	1859	2676
205	1866	2663
206	1872	2649
207	1878	2636
208	1884	2623
209	1891	2611
210	1897	2598
211	1904	2587
212	1911	2575
213	1918	2564
214	1926	2554
215	1936	2545
216	1942	2533
217	1953	2526
218	1961	2516
219	1970	2507
220	1978	2497
221	1988	2489
222	1997	2481
223	2006	2472
224	2014	2462
225	2021	2451
226	2028	2440
227	2034	2427
228	2041	2415
229	2047	2403
230	2053	2391
231	2060	2380
232	2066	2368
233	2073	2356
234	2079	2344
235	2085	2333
236	2092	2321
237	2099	2310
238	2106	2300
239	2113	2289
240	2121	2279
241	2129	2270
242	2135	2258
243	2141	2246
244	2148	2236
245	2155	2225
246	2161	2214
247	2168	2203
248	2176	2193
249	2182	2182
250	2190	2172
251	2195	2160
252	2202	2150
253	2209	2139
254	2215	2128
255	2222	2118
256	2228	2106
257	2234	2096
258	2240	2084
259	2246	2073
260	2252	2062
261	2258	2051
262	2265	2041
263	2272	2031
264	2279	2021
265	2286	2011
266	2293	2001
267	2300	1991
268	2307	1981
269	2313	1971
270	2322	1962
271	2327	1951
272	2334	1941
273	2341	1931
274	2347	1921
275	2354	1911
276	2361	1900
277	2369	1892
278	2377	1883
279	2383	1873
280	2391	1863
281	2398	1853
282	2405	1844
283	2414	1836
284	2422	1827
285	2430	1818
286	2439	1810
287	2447	1801
288	2456	1793
289	2466	1786
290	2476	1778
291	2484	1770
292	2493	1761
293	2501	1752
294	2508	1743
295	2515	1733
296	2522	1724
297	2531	1715
298	2538	1706
299	2546	1697
300	2555	1689
301	2563	1680
302	2570	1671
303	2579	1662
304	2587	1654
305	2596	1645
306	2603	1636
307	2610	1627
308	2618	1618
309	2625	1609
310	2632	1599
311	2639	1590
312	2646	1581
313	2653	1571
314	2660	1562
315	2667	1553
316	2674	1544
317	2681	1534
318	2690	1526
319	2697	1517
320	2705	1508
321	2712	1499
322	2719	1490
323	2726	1481
324	2734	1472
325	2741	1463
326	2751	1455
327	2759	1447
328	2768	1438
329	2776	1430
330	2785	1421
331	2793	1413
332	2802	1405
333	2809	1396
334	2817	1387
335	2824	1378
336	2831	1369
337	2839	1360
338	2845	1351
339	2851	1341
340	2857	1332
341	2866	1324
342	2875	1316
343	2885	1308
344	2895	1300
345	2904	1292
346	2912	1284
347	2921	1276
348	2929	1267
349	2938	1259
350	2946	1250
351	2956	1242
352	2965	1235
353	2973	1226
354	2983	1218
355	2990	1209
356	2998	1201
357	3007	1193
358	3017	1185
359	3024	1176
360	3033	1168
361	3042	1159
362	3049	1151
363	3058	1142
364	3067	1134
365	3075	1126
366	3084	1117
367	3092	1109
368	3099	1100
369	3107	1091
370	3116	1083
371	3123	1074
372	3131	1066
373	3139	1057
374	3146	1048
375	3152	1039
376	3160	1031
377	3168	1022
378	3175	1013
379	3181	1004
380	3188	995
381	3194	986
382	3200	977
383	3207	968
384	3213	959
385	3221	951
386	3229	943
387	3237	934
388	3244	925
389	3250	916
390	3256	907
391	3264	899
392	3271	890
393	3277	881
394	3283	872
395	3289	863
396	3297	855
397	3303	846
398	3309	837
399	3316	829
400	3323	820
401	3331	812
402	3337	803
403	3345	794
404	3353	786
405	3360	778
406	3370	770
407	3376	761
408	3384	752
409	3391	744
410	3399	736
411	3406	727
412	3415	719
413	3425	711
414	3431	702
415	3439	694
416	3447	686
417	3454	677
418	3462	669
