Family,CCAvg,Education,Income,CD Account,Mortgage,Personal Loan
4,2.2,2,102,0,0,0
3,1.4,3,69,0,132,0
1,1.3,1,29,0,0,0
4,2.4,3,83,0,0,0
2,6.3,1,98,0,0,0
2,0.6,1,125,0,0,0
3,6.3,3,193,0,0,1
2,2.0,2,42,0,196,0
2,2.4,2,101,0,0,0
4,3.4,1,64,0,117,0
4,0.2,3,48,0,0,0
4,0.0,2,39,0,0,0
1,2.5,3,55,0,0,0
3,0.5,2,55,0,172,0
4,0.5,2,25,0,0,0
4,1.5,1,50,0,0,0
3,1.1,1,99,0,0,0
3,2.6,2,65,0,0,0
1,2.67,2,62,0,0,0
3,0.7,1,175,0,312,1
1,0.5,2,9,0,98,0
4,1.1,2,132,0,412,1
1,0.8,2,15,0,0,0
1,1.4,3,71,0,198,0
4,0.6,3,11,0,0,0
3,0.7,2,28,0,0,0
2,6.5,1,152,0,0,0
2,1.6,3,53,0,0,0
1,2.6,2,90,0,0,0
1,1.3,1,20,0,0,0
1,0.0,1,134,0,0,0
3,1.3,1,20,0,83,0
2,1.0,1,14,0,107,0
1,3.8,1,83,0,97,1
1,0.0,2,64,0,0,0
2,0.0,3,92,0,0,0
4,1.6,2,83,0,0,0
4,1.9,3,38,0,144,0
4,0.2,1,78,0,0,0
2,1.7,2,38,0,0,0
4,2.1,3,102,0,139,0
1,2.8,3,93,1,328,0
1,0.8,3,113,0,0,0
1,2.5,3,41,0,0,0
1,5.4,1,98,0,0,0
4,0.4,1,13,0,0,0
1,1.9,1,101,0,0,0
2,1.7,1,71,0,145,0
4,1.1,2,88,0,0,0
3,0.3,3,18,0,0,0
4,1.9,2,81,0,0,0
3,0.1,3,45,0,0,0
2,1.0,2,39,0,0,0
4,2.67,1,73,0,0,0
1,1.4,3,75,0,0,0
2,2.8,1,192,0,238,0
4,1.5,3,24,0,0,0
2,2.3,3,64,0,0,0
1,0.2,1,35,0,0,0
4,0.4,2,35,0,0,0
2,3.8,3,164,1,422,1
1,3.8,1,89,0,0,0
3,0.7,2,52,0,0,0
1,2.67,2,83,1,0,0
2,0.4,3,32,0,0,0
1,0.3,1,93,0,0,0
4,1.8,3,58,0,91,0
4,1.5,1,52,0,0,0
4,1.3,2,41,0,0,0
2,0.4,1,163,0,0,0
3,0.2,1,32,0,0,0
3,5.0,2,124,0,170,1
1,2.4,1,164,0,449,0
3,0.7,2,23,0,0,0
2,2.8,1,50,0,205,0
1,1.33,1,42,0,0,0
2,0.3,2,28,0,88,0
1,0.3,1,53,0,213,0
1,2.67,2,82,0,125,0
2,0.3,1,43,0,0,0
2,7.6,1,140,0,132,0
3,2.2,2,48,0,0,0
1,2.4,2,40,0,0,0
3,1.3,1,30,1,0,0
3,0.9,3,59,0,199,0
4,1.3,2,45,0,0,0
3,0.1,1,69,0,247,0
1,1.4,3,74,0,0,0
2,0.3,1,14,0,109,0
1,0.75,3,33,0,171,0
1,2.2,3,53,0,0,0
4,0.3,2,31,0,0,0
2,6.0,1,132,0,470,0
2,6.67,1,201,0,0,0
2,7.2,3,173,0,0,1
4,0.7,1,68,0,191,0
3,1.6,3,79,0,0,0
