,Family,CCAvg,Education,Income,CD Account,Mortgage,Personal Loan
0,4,1.6,1,49,0,0,0
1,3,1.5,1,34,0,0,0
2,1,1.0,1,11,0,0,0
3,1,2.7,2,100,0,0,0
4,4,1.0,2,45,0,0,0
5,4,0.4,2,29,0,155,0
6,2,1.5,2,72,0,0,0
7,1,0.3,3,22,0,0,0
8,3,0.6,2,81,0,104,0
9,1,8.9,3,180,0,0,1
10,4,2.4,3,105,0,0,0
11,3,0.1,2,45,0,0,0
12,2,3.8,3,114,0,0,0
13,4,2.5,2,40,0,0,0
14,1,2.0,1,112,0,0,0
15,1,1.5,3,22,0,0,0
16,4,4.7,3,130,0,134,1
17,4,2.4,1,81,0,0,0
18,2,8.1,3,193,0,0,1
19,1,0.5,2,21,0,0,0
20,4,0.9,2,25,0,111,0
21,3,2.0,3,63,0,0,0
22,1,1.2,1,62,0,260,0
23,2,0.7,1,43,0,163,0
24,2,3.9,1,152,0,159,0
25,3,0.5,1,29,0,97,0
26,4,0.2,3,83,0,0,0
27,1,2.4,1,158,0,0,0
28,1,2.2,3,48,0,0,0
29,1,3.3,2,119,1,0,1
30,1,1.2,3,35,0,122,0
31,1,2.0,2,29,0,0,0
32,2,0.6,3,41,0,193,0
33,3,0.9,3,18,0,0,0
34,4,1.8,3,50,0,0,0
35,3,0.7,1,81,0,0,0
36,1,2.9,1,121,0,0,0
37,1,1.4,3,71,0,198,0
38,3,5.0,3,141,1,0,1
39,4,0.7,3,80,0,285,0
40,3,1.6,3,84,0,0,0
41,3,2.3,1,60,0,0,0
42,4,1.1,2,132,0,412,1
43,1,0.7,1,45,0,0,0
44,1,5.7,1,104,0,0,0
45,4,2.5,1,52,0,0,0
46,3,0.7,2,43,0,153,0
47,4,0.2,3,194,1,211,1
48,2,4.5,3,81,0,0,0
49,1,1.8,1,49,0,0,0
50,4,0.7,2,8,0,0,0
51,1,2.9,1,131,0,0,0
52,1,0.1,1,72,0,207,0
53,3,2.1,3,190,0,240,1
54,1,0.2,3,44,0,0,0
55,2,8.0,1,139,0,0,0
56,3,0.1,2,29,1,0,0
57,2,1.2,3,131,0,0,1
58,2,0.2,1,93,0,0,0
59,2,4.5,1,188,0,455,0
60,3,1.7,2,39,0,0,0
61,1,5.7,1,125,0,112,0
62,1,1.0,1,22,0,0,0
63,4,0.0,2,32,0,0,0
64,2,3.3,1,105,0,0,0
65,1,3.8,1,131,0,0,0
66,2,2.8,1,105,0,336,0
67,4,2.0,3,45,0,132,0
68,3,2.1,1,60,0,0,0
69,4,0.2,1,20,0,0,0
70,1,3.5,1,115,0,0,0
71,4,1.0,2,69,0,0,0
72,1,5.0,1,130,0,0,0
73,1,4.0,3,85,0,0,0
74,2,3.3,1,135,0,0,0
75,4,3.8,2,135,1,0,1
76,3,0.3,3,12,0,0,0
77,3,0.5,2,29,0,0,0
78,2,2.6,3,133,0,0,1
79,2,0.4,1,19,0,118,0
80,4,1.3,1,41,0,174,0
81,3,2.7,2,40,0,0,0
82,1,4.0,3,82,0,0,0
83,1,2.4,2,50,0,0,0
84,1,0.9,3,18,0,0,0
85,4,1.8,3,109,0,0,0
86,4,2.2,2,42,0,126,0
87,3,1.1,1,78,0,0,0
88,2,1.1,1,51,0,0,0
89,4,2.3,3,113,0,0,0
90,4,5.6,2,118,0,0,1
91,4,1.1,3,29,0,0,0
92,3,0.6,2,34,0,0,0
93,2,1.7,3,64,0,236,0
94,1,2.0,1,121,0,0,0
95,4,0.2,3,48,0,0,0
96,1,5.2,1,80,0,0,0
97,1,2.9,1,161,0,0,0
98,1,0.3,1,94,0,0,0
99,3,0.1,3,15,0,0,0
100,1,1.2,1,74,0,0,0
101,3,1.3,2,30,0,0,0
102,3,1.0,3,44,0,198,0
103,2,0.3,2,22,0,0,0
104,4,1.3,1,38,0,166,0
105,3,0.1,2,35,0,0,0
106,4,2.9,1,69,0,0,0
107,1,0.7,1,43,0,136,0
108,1,0.6,3,32,0,166,0
109,1,2.8,1,49,0,0,0
110,3,1.0,2,9,0,0,0
111,4,1.3,2,45,0,0,0
112,3,1.0,1,82,0,309,0
113,2,2.8,1,92,0,103,0
114,3,0.5,3,39,0,0,0
115,3,1.8,2,81,0,0,0
116,1,1.5,2,35,0,0,0
117,2,2.3,3,61,0,193,0
118,3,3.0,1,73,0,0,0
119,1,4.6,1,112,0,366,0
120,2,0.2,3,12,0,0,0
121,3,0.9,3,38,0,0,0
122,2,0.7,2,73,0,0,0
123,1,3.6,2,84,0,0,0
124,4,2.4,1,78,0,118,0
125,3,0.5,1,80,0,0,0
126,2,1.3,1,115,0,101,0
127,1,2.7,2,82,0,251,0
128,2,0.0,1,74,0,0,0
129,3,0.5,3,70,0,0,0
130,3,1.5,1,81,0,276,0
131,4,7.2,2,149,1,0,1
132,2,1.75,3,51,0,0,0
133,3,1.1,2,39,0,0,0
134,3,1.8,2,98,0,0,0
135,4,2.1,1,45,0,0,0
136,4,2.5,2,49,0,0,0
137,2,0.4,1,128,0,0,0
138,3,1.5,1,42,1,0,0
139,1,1.2,3,18,0,0,0
140,2,0.4,3,31,0,161,0
141,3,2.0,1,58,0,149,0
142,1,2.1,3,48,0,0,0
143,4,1.6,1,54,0,0,0
144,2,1.5,2,70,0,0,0
145,1,7.4,1,124,0,0,0
146,1,2.67,2,84,0,0,0
147,4,3.6,3,83,0,188,0
148,2,0.4,1,163,0,116,0
149,3,2.2,2,42,0,0,0
150,2,7.5,1,118,1,0,0
151,3,6.5,3,132,0,0,1
152,1,1.3,1,24,0,0,0
153,2,1.0,1,22,1,0,0
154,4,1.3,3,58,0,0,0
155,4,1.6,1,60,0,0,0
156,4,0.4,1,15,0,0,0
157,4,2.67,1,83,0,0,0
158,2,1.5,3,79,0,0,0
159,4,1.7,2,41,0,0,0
160,4,6.5,3,134,0,0,1
161,2,2.8,1,80,0,0,0
162,1,2.0,1,52,0,0,0
163,4,2.6,1,70,0,0,0
164,2,1.1,1,92,0,0,0
165,1,1.5,1,43,0,0,0
166,3,1.0,2,21,0,0,0
167,3,0.9,3,23,0,0,0
168,4,1.0,1,13,0,0,0
169,4,2.1,3,112,0,0,0
170,2,2.0,1,138,0,0,0
171,3,0.4,1,11,0,0,0
172,2,7.8,1,171,0,0,0
173,4,1.5,1,42,0,0,0
174,2,7.9,2,168,0,0,1
175,4,1.1,2,85,0,0,0
176,3,1.0,2,44,0,135,0
177,4,1.8,2,65,0,244,0
178,4,0.2,1,24,0,0,0
179,1,0.1,1,11,0,0,0
180,2,1.0,3,38,0,164,0
181,4,0.7,2,10,0,81,0
182,1,1.5,1,135,0,0,0
183,3,4.1,1,148,0,0,1
184,2,1.5,2,63,0,0,0
185,1,1.0,3,115,0,0,0
186,1,0.3,1,45,0,0,0
187,3,1.9,3,159,0,315,1
188,2,2.1,1,169,0,122,0
189,2,1.4,1,112,0,0,0
190,1,4.3,1,93,0,0,0
191,1,0.3,3,29,0,140,0
192,1,2.67,2,85,0,0,0
193,4,0.6,1,21,0,0,0
194,2,6.8,1,144,0,0,0
195,4,1.0,1,13,0,95,0
196,1,5.0,1,165,0,0,0
197,4,0.7,1,9,0,89,0
198,4,0.0,1,59,0,90,0
199,1,5.1,3,158,1,0,1
200,1,1.9,3,29,0,0,0
201,2,1.4,3,20,0,0,0
202,4,2.0,2,68,0,0,0
203,4,2.2,1,65,0,0,0
204,2,1.9,2,61,0,105,0
205,4,1.4,2,91,0,100,0
206,1,1.0,1,31,0,0,0
207,4,0.1,2,71,0,0,0
208,4,2.67,1,73,0,0,0
209,4,3.1,1,172,1,282,1
210,2,0.0,1,20,0,0,0
211,1,0.2,1,55,0,0,0
212,2,1.7,1,69,0,209,0
213,1,7.4,1,155,0,0,0
214,1,1.9,2,94,0,0,0
215,2,0.0,1,92,0,249,0
216,2,0.6,1,125,0,0,0
217,3,3.0,1,74,0,0,0
218,3,0.3,3,72,0,0,0
219,1,2.2,3,61,0,0,0
220,2,0.3,1,25,0,0,0
221,2,1.7,2,83,0,0,0
222,3,2.5,1,104,0,0,0
223,3,1.0,3,41,0,0,0
224,4,1.8,3,58,0,91,0
