,Model_name,train_scores,test_score,accuracy_train,accuracy_test,F1_score_train,F1_score_test,ROC_AUC_train,ROC_AUC_test
0,Logistic_Regression,0.917283950617284,0.9139705882352941,0.917283950617284,0.9139705882352941,0.9176759698086712,0.6846361185983828,0.9690293602580494,0.957248263888889
1,Support_Vector_Classifiers,0.7851851851851852,0.7823529411764706,0.7851851851851852,0.7823529411764706,0.785638859556494,0.42187500000000006,0.8734137093337565,0.8456917032163742
2,Random_Forest_Classifiers,1.0,0.9882352941176471,1.0,0.9882352941176471,1.0,0.9444444444444444,1.0,0.9981125502558479
3,K-Nearest_Neighbor,0.9888888888888889,0.9625,0.9888888888888889,0.9625,0.9889879391714734,0.8370607028753995,0.9997310638933213,0.9732558936403509
4,Radius_Neighbors_Classifiers,0.8894179894179894,0.8610294117647059,0.8894179894179894,0.8610294117647059,0.8919151870367177,0.5635103926096998,0.9522232486959119,0.9460235060307017
5,Adaptive Boosting Classifiers,0.9529100529100529,0.9448529411764706,0.9529100529100529,0.9448529411764706,0.9533787323205866,0.7774480712166173,0.9934244717548657,0.9801832054093567
6,Bagging Classifiers,0.9065255731922398,0.8522058823529411,0.9065255731922398,0.8522058823529411,0.9117842876165113,0.5732484076433122,0.9489032595205434,0.9411435489766081
7,Gradient_Boosting_Classifiers,1.0,0.9882352941176471,1.0,0.9882352941176471,1.0,0.9444444444444444,1.0,0.998303865131579
8,Cat_Boost_Classifier,1.0,0.9875,1.0,0.9875,1.0,0.9415807560137457,1.0,0.998252467105263
9,Light_Gradient_Boosting_Machine_Classifiers,1.0,0.9897058823529412,1.0,0.9897058823529412,1.0,0.9503546099290779,1.0,0.9961394371345029
10,eXtreme_Gradient_Boosting_Classifier,1.0,0.9875,1.0,0.9875,1.0,0.9407665505226481,1.0,0.9977441977339182
11,eXtreme_Gradient_Boosting_Random_Forest_Classifiers,0.9938271604938271,0.9838235294117647,0.9938271604938271,0.9838235294117647,0.9938282489860695,0.9246575342465754,0.9998546762097615,0.9978669819078947
