,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,5.476206481456757,1.0864227598496041,0.04189079999923706,0.007064057105603145,0.05,4,750,0.1,1.0,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'subsample': 0.7}",0.9866005197259626,0.9957686798758654,0.9971771221387733,0.9901195731862809,0.9924164737317205,0.004272064266872307,16
1,4.763643860816956,1.1384615410488388,0.03338491916656494,0.0062506700156177404,0.05,4,750,0.1,1.0,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9866005197259626,0.9936530292834966,0.9957656832081598,0.9915311977049964,0.991887607480654,0.003399871701410722,66
2,5.9178197383880615,0.6113992746341175,0.03439044952392578,0.0013476208577927115,0.05,4,750,0.1,1.5,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 1.5, 'subsample': 0.7}",0.987305837603845,0.9950634672204972,0.9964714114603177,0.9901195731862809,0.9922400723677351,0.003698613878696672,32
3,5.401918649673462,1.4737587774986078,0.040381789207458496,0.009942766498999049,0.05,4,750,0.1,1.5,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 1.5, 'subsample': 1.0}",0.9858951786975421,0.9929478138222849,0.9964714184897671,0.9908253956395601,0.9915349516622884,0.0038299932462479936,104
4,7.104071736335754,0.6278909914319359,0.03664231300354004,0.002914395188008051,0.05,4,750,0.1,2.0,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'subsample': 0.7}",0.987305837603845,0.9957686798758654,0.997177133385926,0.9908253956395601,0.9927692616262991,0.003938700937767299,4
5,4.018261253833771,0.16134311113268457,0.029752612113952637,0.0028613842621782615,0.05,4,750,0.1,2.0,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'subsample': 1.0}",0.9866005197259626,0.9922425913464957,0.9957656832081598,0.9901195731862809,0.9911820918667247,0.003326173400439799,125
6,4.390136659145355,0.41621268981115056,0.05164456367492676,0.01423047121540551,0.05,4,750,0.5,1.0,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 0.7}",0.987305837603845,0.9957686798758654,0.9964714114603177,0.9901195731862809,0.9924163755315771,0.003842985809375872,19
7,4.370343208312988,0.3597652520425571,0.05988413095474243,0.015092901803856848,0.05,4,750,0.5,1.0,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9866005197259626,0.9929478138222849,0.9957656832081598,0.9901195731862809,0.9913583974856721,0.003395677331249104,117
8,5.658345520496368,0.6459690063510847,0.06363952159881592,0.013246877319190534,0.05,4,750,0.5,1.5,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 0.5, 'reg_lambda': 1.5, 'subsample': 0.7}",0.987305837603845,0.9950634475795923,0.997177133385926,0.9908253956395601,0.9925929535522309,0.003814311914133598,7
9,5.033517360687256,0.8522944236442715,0.06364387273788452,0.01936235896937756,0.05,4,750,0.5,1.5,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 750, 'reg_alpha': 0.5, 'reg_lambda': 1.5, 'subsample': 1.0}",0.9866005197259626,0.9936530292834966,0.9957656832081598,0.9894137282353872,0.9913582401132517,0.003574515411125996,123
